Term,Count,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
place,510,0.00029205607,0.00022058823,0.0005198192,0.00038520803,0.0006913292,0.00041928721,0.000522342,0.00039256483,0.00034373507,0.0003876637,0.00043622125,0.0005430872,0.00071412174,0.0004282655,0.0005288568,0.00040635627,0.00048459545,0.0006002401
real,510,0.0008761682,0.0006985294,0.00044933526,0.00051361066,0.000476249,0.0006412628,0.00054608483,0.00051033427,0.00043340508,0.00043073742,0.00059581443,0.00048877846,0.00036981306,0.00034796575,0.00042649743,0.00047051779,0.00046595716,0.00045018006
i'm,505,0,0.00029411764,0.0003259883,0.00025680533,0.00030725743,0.00034529535,0.00033239945,0.0004318213,0.00085186516,0.0003876637,0.0007234889,0.000909671,0.0006758652,0.0006022484,0.00037531773,0.00023525889,0.00022365944,0.00030012004
year,498,0.00029205607,0.00036764707,0.0003964723,0.00049026473,0.0004147975,0.0004932791,0.000261171,0.00027479537,0.00034373507,0.00067482196,0.0003511049,0.0007331677,0.00047183046,0.0005487152,0.00039237764,0.00057745364,0.0005777869,0.0006002401
self,490,0.00029205607,0.00077205885,0.0005374402,0.00053695665,0.00050697476,0.0002713035,0.00037988508,0.00045144954,0.00049318507,0.00045945324,0.0004149422,0.0004752013,0.00051008695,0.00038811564,0.00017059897,0.00040635627,0.000521872,0.00065026013
left,488,0.00029205607,0.0005147059,0.00067840813,0.0005953215,0.00033798316,0.000517943,0.0004985992,0.0006084755,0.0005529651,0.00048816908,0.00027662812,0.00035300668,0.00042082174,0.00028104926,0.00030707815,0.00038496908,0.0005591486,0.00035014006
mother,485,0.00058411213,0.00033088235,0.0005198192,0.00040855395,0.00043016038,0.0006165988,0.0004985992,0.00031405187,0.00037362505,0.00018665288,0.0006064539,0.00042089255,0.00056109566,0.0005219486,0.00046061722,0.00036358193,0.0004286806,0.0007002801
seen,485,0.0008761682,0.00044117647,0.00046695623,0.00037353503,0.0003226203,0.0006412628,0.00035614226,0.00041219307,0.00041846005,0.000502527,0.00051069807,0.00050235563,0.00053559133,0.00044164882,0.00047767712,0.00034219475,0.0004100423,0.00065026013
form,483,0.00029205607,0.00022058823,0.0006519766,0.00038520803,0.0003687089,0.0003206314,0.00047485635,0.0002944236,0.00032879005,0.00037330575,0.0003936631,0.00048877846,0.00071412174,0.000495182,0.00040943755,0.00040635627,0.00050323375,0.00065026013
voice,471,0,0.00040441175,0.00030836734,0.00042022692,0.00038407178,0.00029596745,0.00045111353,0.0008636426,0.0005679101,0.00043073742,0.00045750034,0.0004616241,0.00036981306,0.00028104926,0.00056297664,0.0004491306,0.0005777869,0.00045018006
